,filename,rmse,chroma_stft,spec_cent,spec_bw,rolloff,zcr,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,raga
4367,T. R. Mahalingam - Yochana.mp3-8,0.08638714998960495,0.2488956650756449,1285.1712856541626,587.8403226182854,1844.4751370337701,0.1232411374327957,-319.5971495351599,166.09222389524146,-72.20458635097842,-54.411554096849386,39.82685048685126,10.443050888132705,-40.63985020488539,-26.43633112615333,-4.989765365092976,-5.7899730979364685,-4.111696995768902,1.4488263009187252,-2.337314449516082,-8.095029521282381,-5.971625071437595,-5.794701595327043,-11.935921025335329,-13.988847266360057,-13.335759979841365,-13.21926485460252,darbar
4368,T. R. Mahalingam - Yochana.mp3-9,0.09426089376211166,0.25122969061884154,1143.5554146153343,623.8410142939664,1782.3501094695062,0.10371579406081989,-291.4515231879158,194.59352161009429,-65.20431566513473,-47.375073323214444,42.32286943644792,7.755844330836762,-35.11975189777829,-17.250379568923474,-0.6915495960817798,-3.092236733794535,-1.725834623670881,2.659100524841915,-0.9743454899138386,-6.683230616245972,-4.801366489839049,-6.574448119547233,-15.089524986012695,-15.455671901745074,-12.847180633797082,-13.654182203587224,darbar
4369,T. R. Mahalingam - Yochana.mp3-10,0.09216772764921188,0.26859347048242815,1177.1030394332126,632.7353304952723,1856.8769885647682,0.10741793724798387,-293.99522544666814,200.70976427419467,-74.30601745777376,-49.8330167658393,42.35940222349105,1.6423842071037238,-36.64969457281269,-11.67706961920245,0.020085360729293036,-8.392858945217451,-4.982362091915147,1.141645453265554,-2.435377017552565,-5.4613145697183825,-4.862408869193175,-9.81675962054934,-14.166333249821882,-12.490639586545855,-14.716899390903036,-14.8253235210546,darbar
4370,Prasanna Venkataraman - Chalamela Jesevura.mp3-1,0.032822612673044205,0.23775676433735107,1350.5578398026257,1609.875983222415,2551.842902688419,0.06420369340170279,-343.2879142253216,127.50366640547534,-20.382120054817324,20.97867713927483,-3.7906300645028246,-6.8209305629637385,-9.9805624442926,-12.42272766443238,-15.504720709665197,-0.3438348562157256,-7.503163800025776,-5.658491891839529,-5.046508475587423,-3.12760997104831,-4.145129852952479,4.233311686647018,-7.063199085162222,2.640869056996034,6.917203541731012,2.198419774602467,darbar
4371,Prasanna Venkataraman - Chalamela Jesevura.mp3-2,0.043045829981565475,0.23322916737190644,1452.8749997774635,1744.6175229740993,2770.1999156467687,0.06446484072658669,-285.98571176491305,125.36070332171505,-21.501210648265353,25.562668359407876,0.6764929374926832,-5.229021394687259,-14.210736437097944,-9.155044014394273,-20.219697468097916,-1.0183159009448133,-11.196862870548845,-7.492586937156384,-3.8139495956544667,-1.3526650275177559,-6.770815565349414,4.0803007383861525,-7.228154128867387,3.192184945127774,4.328411322886501,-1.821398541592658,darbar
4372,Prasanna Venkataraman - Chalamela Jesevura.mp3-3,0.06717295944690704,0.26636799763971675,1774.263918940635,2072.764305355701,3514.78707989672,0.07159329346458979,-203.9288239698524,110.68388536785103,-15.299338294805478,27.26511002753535,2.5414117101699936,-3.4663362942807896,-17.986577115637843,-1.5070892648530343,-17.860070721654445,2.440958530708722,-9.331282980186781,-4.298703831329763,-4.572466179576552,3.6785070903456205,-6.1911934884635444,3.3697959534926945,-6.03185579813889,7.0443681511033045,-0.6426302218784347,-3.3350090377172,darbar
4373,Prasanna Venkataraman - Chalamela Jesevura.mp3-4,0.08262943476438522,0.2791432121178584,1691.2650600653155,2007.7339814193585,3353.8380531334656,0.06867418791118421,-179.87099570339268,117.39150697092089,-13.799486331482935,24.63217362917202,-2.9330524905073254,0.3449058802565028,-15.314223389894737,0.40086094021943314,-13.00247019820941,5.507368195291727,-7.0425122105717595,-3.502406288369535,-6.530739189841533,4.703462515662056,-8.808279221150414,3.428244808637355,-6.117967108614454,5.877245519248244,-1.8147382403868222,-2.825011020900407,darbar
4374,Prasanna Venkataraman - Chalamela Jesevura.mp3-5,0.0854041650891304,0.2752296268033776,1712.458241678276,2022.8242040070866,3429.5792618034056,0.06902112458881579,-176.74802921927784,115.27172339458663,-13.019814799350083,25.040545373415025,-4.855671928818057,1.8150864746954454,-14.667355324517851,0.6331784282670804,-12.708547941210357,4.238494323501172,-5.419129735117004,-3.2012285966723915,-6.379831966752527,4.16487585135709,-8.507204985363472,2.661622783103709,-6.246644944024281,4.661302253196781,-2.3523048633700436,-2.0846546517617646,darbar
4375,Prasanna Venkataraman - Chalamela Jesevura.mp3-6,0.08292421698570251,0.3136155319523122,1724.2871712769495,2043.2678085290236,3480.2539553804663,0.06685560480359908,-178.44121234317825,116.46189253572322,-12.807811994118302,31.51209688654965,4.023472095664116,0.6341019391894207,-13.921167998935877,-1.437996528370476,-11.66440445483773,1.7707057892074323,-4.520205019163575,-0.9282987273319042,-3.9952101942560363,4.251691303989806,-8.792776992954227,4.763307374865606,-6.631119334520122,4.6729962489412395,-3.878087551189833,-3.1943543357019473,darbar
4376,Prasanna Venkataraman - Chalamela Jesevura.mp3-7,0.09197461605072021,0.33835053364811946,1696.765226084388,2103.368966259731,3541.6702506711977,0.06033296850812694,-169.06056525539825,117.42042412881253,-5.454912148123762,33.23476005560483,4.9145429128126725,1.6853358198782014,-15.17335336039331,-4.056425929424688,-10.114268413247933,-0.020004814124412375,-5.94918480937677,1.1358807733599092,-3.566015987157615,5.379452993450695,-7.965716327831153,3.290397243382486,-9.641178768917925,5.775815596931583,-5.219692558821343,-3.2830443167654457,darbar
